,date_np,minutesAsleep,minutesAwake,weekend,sed_min,va_min,ma_min,ls_min,sum,pred
210,2015-04-29,381,25,False,740,40,20,139,11166,False
211,2015-04-30,418,6,False,696,54,32,201,13730,False
212,2015-05-01,437,35,False,782,28,15,175,7253,False
213,2015-05-02,473,49,True,579,26,35,270,14923,False
214,2015-05-03,445,40,True,706,84,28,115,14320,False
215,2015-05-04,353,30,False,842,37,24,135,9943,False
216,2015-05-05,393,31,False,863,21,22,144,10518,False
217,2015-05-06,330,24,False,800,47,13,214,13568,False
218,2015-05-07,363,56,False,537,93,41,343,16718,True
219,2015-05-08,392,50,False,667,69,51,180,18187,False
220,2015-05-09,368,22,True,814,78,30,100,17963,False
221,2015-05-10,423,46,True,758,40,29,177,9618,False
222,2015-05-11,403,40,False,699,28,32,221,10547,False
223,2015-05-12,334,23,False,833,7,7,229,9989,False
224,2015-05-14,495,42,False,730,25,1,151,7932,False
225,2015-05-15,364,4,False,757,77,34,198,15910,False
226,2015-05-16,339,44,True,789,12,21,226,8652,False
227,2015-05-17,286,7,True,942,9,12,172,6430,False
228,2015-05-19,316,14,False,905,38,35,122,9169,False
229,2015-05-21,388,27,False,792,21,16,144,5859,False
230,2015-05-22,379,25,False,749,25,47,248,11985,False
231,2015-05-23,341,25,True,906,23,18,116,5996,False
232,2015-05-24,317,1,True,835,1,6,179,4858,True
233,2015-05-25,1002,104,False,788,0,0,103,3857,False
234,2015-05-26,679,89,False,674,4,9,34,2080,True
235,2015-05-28,347,23,False,860,18,22,128,7118,False
236,2015-05-29,413,38,False,740,24,16,211,8084,False
237,2015-05-30,428,22,True,717,49,27,201,11851,False
238,2015-05-31,370,20,True,841,17,14,171,6561,False
239,2015-06-01,423,29,False,730,29,35,144,10369,False
240,2015-06-02,400,23,False,732,65,36,155,11709,False
241,2015-06-03,501,83,False,717,13,18,150,8932,False
242,2015-06-04,322,29,False,815,9,11,239,8288,False
243,2015-06-06,428,8,True,658,92,72,175,17408,False
244,2015-06-07,332,29,True,890,14,17,105,5027,False
245,2015-06-08,466,33,False,668,49,43,168,13358,False
246,2015-06-09,367,52,False,797,26,23,152,9954,False
247,2015-06-10,408,32,False,723,66,41,136,12979,False
248,2015-06-11,360,18,False,825,20,27,160,7148,False
249,2015-06-12,296,17,False,733,79,56,200,13957,False
250,2015-06-14,500,28,True,664,21,31,171,8780,False
251,2015-06-15,337,14,False,687,34,83,276,14347,False
252,2015-06-16,365,37,False,781,17,24,156,11760,False
253,2015-06-17,551,53,False,595,66,70,123,11715,False
254,2015-06-18,268,28,False,952,0,0,183,9652,False
255,2015-06-22,455,22,False,682,50,39,217,14175,False
256,2015-06-23,353,29,False,750,44,52,194,15349,False
257,2015-06-25,492,80,False,579,54,40,253,14274,False
258,2015-06-29,418,21,False,790,59,46,152,7206,False
259,2015-07-01,339,22,False,770,55,43,201,14205,False
260,2015-07-05,501,101,True,757,0,0,172,4042,False
261,2015-07-21,428,56,False,815,35,15,146,9793,False
262,2015-08-12,379,54,False,757,42,27,179,15021,False
263,2015-08-14,410,64,False,567,37,40,293,12019,True
264,2015-12-15,396,5,False,762,30,15,232,12195,False
265,2015-12-16,401,41,False,779,20,8,191,9009,False
266,2015-12-18,349,20,False,825,46,15,210,13500,False
267,2015-12-19,458,31,True,780,70,42,172,13721,False
268,2015-12-20,306,28,True,851,73,18,110,13337,False
269,2015-12-21,894,38,False,972,64,17,184,12927,False
270,2015-12-23,281,26,False,926,0,0,207,6504,False
271,2015-12-24,303,13,False,827,0,8,274,6206,True
272,2015-12-25,471,19,False,755,0,0,173,2870,False
273,2015-12-26,338,16,True,971,0,0,153,4596,False
274,2016-01-02,809,72,True,909,35,10,61,5386,True
275,2016-01-03,341,28,True,619,21,6,62,4321,True
276,2016-01-04,594,51,False,1087,14,8,164,7697,False
277,2016-01-06,447,23,False,911,6,4,119,5313,False
278,2016-01-07,413,28,False,751,0,0,168,5474,False
279,2016-01-08,436,31,False,780,22,15,254,11641,False
280,2016-01-09,513,20,True,672,47,35,140,11550,False
281,2016-01-12,418,30,False,892,49,28,183,13701,False
282,2016-01-13,291,20,False,817,16,8,166,8887,False
283,2016-01-14,340,21,False,754,8,6,143,7606,False
284,2016-01-15,792,42,False,925,22,4,172,8797,False
285,2016-01-17,479,25,True,738,67,23,88,10782,True
286,2016-01-18,377,57,False,819,0,0,187,7551,False
287,2016-01-19,443,32,False,741,27,23,214,11199,False
288,2016-01-20,810,80,False,759,31,33,194,12489,False
289,2016-01-21,353,25,False,878,22,12,111,6692,False
290,2016-01-22,471,19,False,793,22,13,215,10278,False
291,2016-01-23,507,22,True,764,7,6,92,3917,True
292,2016-01-24,427,14,True,762,99,15,110,15068,False
293,2016-01-25,310,18,False,833,16,16,171,9481,False
294,2016-01-26,389,13,False,776,26,16,227,13533,False
295,2016-01-27,421,31,False,859,31,9,144,9574,False
296,2016-01-28,453,22,False,1121,2,21,142,8171,False
297,2016-01-30,623,60,True,751,52,42,249,13558,False
298,2016-01-31,269,32,True,700,43,6,107,12167,False
299,2016-02-01,490,35,False,854,15,15,96,6067,False
300,2016-02-02,389,18,False,833,48,38,159,13066,False
301,2016-02-03,345,49,False,810,33,8,157,9359,False
302,2016-02-04,410,33,False,735,11,7,166,7544,False
303,2016-02-05,445,49,False,802,56,20,281,14200,False
304,2016-02-06,630,39,True,771,16,1,119,6843,False
305,2016-02-07,263,23,True,803,70,15,80,9626,False
306,2016-02-08,698,50,False,820,10,14,111,6429,False
307,2016-02-10,448,31,False,821,2,12,184,9433,False
308,2016-02-11,351,26,False,703,37,21,305,15658,False
309,2016-02-12,447,17,False,901,0,0,98,3668,False
310,2016-02-13,363,36,True,647,30,38,400,17576,True
311,2016-02-14,707,33,True,679,45,32,197,13271,False
312,2016-02-16,393,25,False,657,21,24,244,13199,False
313,2016-02-17,386,22,False,674,5,5,216,10953,False
314,2016-02-18,523,13,False,892,24,12,166,9539,False
315,2016-02-19,648,58,False,846,27,30,216,13294,False
316,2016-02-20,474,38,True,627,57,16,64,8357,True
317,2016-02-21,562,34,True,752,50,15,97,7937,True
318,2016-02-22,471,63,False,705,26,19,177,10301,False
319,2016-02-23,425,32,False,712,17,33,231,13177,False
320,2016-02-24,417,25,False,751,23,18,130,8841,False
321,2016-02-25,436,17,False,689,46,106,248,20535,False
322,2016-02-26,405,30,False,773,13,16,170,8292,False
323,2016-02-27,518,38,True,644,95,74,193,19115,False
324,2016-02-28,741,41,True,570,2,9,129,4042,True
325,2016-02-29,246,32,False,717,24,14,168,10267,False
326,2016-03-01,774,63,False,707,42,44,193,14031,False
327,2016-03-03,457,14,False,825,7,5,167,9236,False
328,2016-03-04,333,27,False,1388,0,0,43,1563,True
329,2016-03-07,272,20,False,968,27,14,86,6524,False
330,2016-03-09,462,31,False,762,50,28,200,15036,False
331,2016-03-10,820,39,False,729,27,24,131,8051,True
332,2016-03-12,390,56,True,600,42,36,263,12010,False
333,2016-03-14,537,28,False,803,30,35,149,10432,False
334,2016-03-15,634,30,False,683,16,14,287,14383,False
335,2016-03-17,402,27,False,1055,33,18,184,9367,False
336,2016-03-19,499,20,True,762,29,67,226,13539,False
337,2016-03-20,1134,138,True,773,33,29,204,8619,True
338,2016-03-22,382,38,False,1152,20,14,110,6905,False
339,2016-03-24,511,47,False,798,40,36,116,9556,False
340,2016-03-25,373,29,False,700,78,61,212,15698,False
341,2016-03-26,731,50,True,694,0,0,48,1609,True
342,2016-03-28,548,73,False,827,20,9,142,7864,False
343,2016-03-29,434,49,False,849,36,27,119,8525,False
344,2016-03-30,307,18,False,793,44,41,158,12927,False
345,2016-03-31,478,26,False,699,24,18,256,10818,False
346,2016-04-01,537,42,False,917,45,48,176,13253,False
347,2016-04-03,468,48,True,815,26,25,165,7838,False
348,2016-04-04,344,27,False,566,23,31,150,9657,False
349,2016-04-05,713,41,False,1119,9,11,117,5421,False
350,2016-04-07,294,49,False,681,41,53,176,12375,False
351,2016-04-08,654,55,False,675,9,10,193,7926,False
352,2016-04-09,387,59,True,522,109,69,216,23701,True
353,2016-04-10,415,39,True,758,35,40,151,9786,False
354,2016-04-12,380,19,False,820,20,54,141,9954,False
355,2016-04-14,279,25,False,789,43,17,156,9800,False
356,2016-04-15,429,53,False,653,23,27,140,8385,False
357,2016-04-16,710,83,True,634,48,30,299,13689,False
358,2016-04-17,536,58,True,732,11,15,127,6467,False
359,2016-04-19,1090,146,False,599,39,48,209,15290,False
360,2016-04-20,450,45,False,646,54,37,185,13429,False
361,2016-04-21,467,61,False,847,23,13,162,7968,False
362,2016-04-22,362,55,False,928,21,17,150,8049,False
363,2016-04-23,623,40,True,753,58,41,147,13471,False
364,2016-04-26,401,39,False,1086,49,57,147,13500,False
365,2016-04-27,333,30,False,786,17,10,219,11159,False
366,2016-04-28,461,43,False,693,31,32,225,12545,False
367,2016-04-29,294,11,False,1067,4,4,60,2325,True
368,2016-05-03,429,39,False,953,0,0,48,2110,True
369,2016-05-06,369,34,False,793,0,0,34,1917,True
370,2016-05-07,446,36,True,1124,0,0,44,1980,True
371,2016-05-10,489,24,False,966,0,0,44,1702,True
372,2016-05-12,475,57,False,857,0,0,43,1930,True
373,2016-05-22,532,33,True,641,39,36,176,9755,False
374,2016-05-23,451,28,False,774,17,26,197,10368,False
375,2016-05-24,374,24,False,849,11,51,131,7999,False
376,2016-05-25,367,18,False,800,9,9,158,6306,False
377,2016-05-26,460,62,False,754,15,9,193,8154,False
378,2016-05-27,431,30,False,744,25,41,174,10760,False
379,2016-05-29,424,29,True,638,63,29,194,9161,True
380,2016-05-30,495,44,False,629,34,24,216,12912,False
381,2016-05-31,396,21,False,680,22,34,232,13751,False
382,2016-06-01,390,42,False,840,5,7,199,6219,False
383,2016-06-02,458,25,False,882,17,7,112,5822,False
384,2016-06-04,444,61,True,829,19,10,77,8028,False
385,2016-06-05,370,31,True,744,28,18,249,7697,False
386,2016-06-06,321,6,False,912,18,30,121,5480,False
387,2016-06-07,380,23,False,711,12,27,218,11311,False
388,2016-06-08,504,61,False,826,0,0,150,5419,False
389,2016-06-11,583,37,True,641,2,24,148,6252,False
390,2016-06-12,377,21,True,811,7,27,158,4804,False
391,2016-06-13,305,30,False,881,9,36,218,11235,False
392,2016-06-14,408,19,False,660,21,41,226,11850,False
393,2016-06-15,506,25,False,733,19,31,189,9183,False
394,2016-06-16,313,33,False,721,89,52,211,19212,False
395,2016-06-17,341,14,False,933,3,7,159,6453,False
396,2016-06-18,376,38,True,811,82,96,244,19542,False
397,2016-06-23,427,68,False,661,17,39,205,10092,False
398,2016-06-24,431,41,False,838,20,16,192,10265,False
399,2016-06-25,366,32,True,556,96,130,260,27534,False
400,2016-06-26,311,40,True,598,34,29,207,11720,True
401,2016-06-27,433,34,False,682,14,22,252,10246,False
402,2016-06-28,405,47,False,687,1,7,166,4637,False
403,2016-06-29,465,46,False,765,23,43,166,10634,False
404,2016-06-30,407,32,False,826,52,30,156,12405,False
405,2016-07-01,552,62,False,564,41,31,164,11954,False
406,2016-07-02,479,46,True,728,16,30,167,9648,False
407,2016-07-03,397,40,True,601,75,95,229,18841,True
408,2016-07-04,368,35,False,765,23,22,196,9713,False
409,2016-07-05,359,23,False,897,16,10,163,8882,False
410,2016-07-06,343,32,False,819,21,21,180,8341,False
411,2016-07-07,382,9,False,763,6,6,171,6654,False
412,2016-07-08,437,46,False,860,12,25,179,8798,False
413,2016-07-09,442,41,True,741,43,25,148,9503,False
414,2016-07-10,332,36,True,885,7,7,173,5847,False
415,2016-07-11,338,39,False,859,20,20,131,7148,False
416,2016-07-12,363,26,False,817,18,21,181,7849,False
417,2016-07-13,389,18,False,876,7,4,192,8887,False
418,2016-07-14,311,35,False,797,56,60,158,14418,False
419,2016-07-15,424,49,False,698,26,28,234,17320,False
